"prefectureLabel","spotLabel","abstract"
"兵庫県","南京町 (神戸市)","南京町（なんきんまち）とは、兵庫県神戸市中央区にあるエリアであり、元町通と栄町通にまたがる一帯を指す。 南京町商店街振興組合の登録商標でもあり、中国風の意匠を特徴とする中華街である。 なお、南京町は通称としての地名で、住所表記としての地名ではない。"
"兵庫県","坂越","坂越（さこし）は兵庫県赤穂市東部の坂越湾に面する港町。 都市景観大賞（都市景観100選）にも選ばれた伝統的建造物群による古い町並みと、秦河勝聖域の島、生島（国の天然記念物、瀬戸内海国立公園特別保護地区、ひょうごの森百選）を包むように広がる美しい坂越湾の眺望で知られる。播州赤穂産『坂越のかき』の養殖生産地である。 坂越は四季折々の貴重な行事や祭礼、それに伝わる伝統芸能も数多く保存伝承されており、中でも大避神社の祭礼「坂越の船祭り（瀬戸内海三大船祭り）」は国の重要無形民俗文化財に指定されている。2018年（平成30年）4月、北前船の西回り（瀬戸内）航路の主要な寄港地として坂越に残る関連文化財7件が日本遺産に認定（日本遺産「荒波を越えた男たちの夢が紡いだ異空間―北前船寄港地・船主集落」日本遺産ポータルサイト）された。"
"兵庫県","大正ロマン館","大正ロマン館（たいしょうロマンかん）は兵庫県丹波篠山市にある歴史的建造物。 1923年（大正12年）に旧・篠山町役場として竣工した西洋館。1992年に役場としての使用を終え、改修を経て翌1993年に「大正ロマン館」という名称で開館した。城下町篠山観光の拠点施設として活用されている。"
"兵庫県","好古園","好古園（こうこえん）は兵庫県姫路市の姫路公園(姫路城)内にある日本庭園。正式名は姫路城西御屋敷跡庭園好古園。「好古園」とは、江戸時代に現在の庭園入口付近に存在した藩校「」に因むものである。"
"兵庫県","姫路城","姫路城（ひめじじょう）は、兵庫県姫路市にある日本の城。江戸時代初期に建てられた天守や櫓等の主要建築物が現存し、国宝や重要文化財に指定されている。また、主郭部を含む中堀の内側は「姫路城跡」として国の特別史跡に指定されている。また、ユネスコの世界遺産リストにも登録され、日本100名城などに選定されている。別名を白鷺城（はくろじょう・しらさぎじょう。詳細はを参照）という。"
"兵庫県","宝塚ガーデンフィールズ","宝塚ガーデンフィールズ（たからづかガーデンフィールズ）は、兵庫県宝塚市に2003年から2013年まで存在した阪急電鉄所有の公園である。 宝塚ファミリーランドを2003年4月7日に閉鎖し、その跡地の一部を緑やペットと共に生活するスタイルをコンセプトに挙げて再開発し、同年9月26日に開業した公園である。手塚治虫記念館に隣接している。 しかし初年度から赤字続きで、2012年9月27日、翌2013年12月24日限りでの営業終了が当施設公式サイトで発表され、予定通り同日に営業終了となった。なお、園内にある旧宝塚歌劇記念館で営業していた中国料理レストラン「龍坊」は一足早く2013年4月10日限りで営業を終了している。 跡地利用については、以下のように予定されている。* 手塚治虫記念館北側の約9200m2部分（宝塚ファミリーランド時代からの施設である温室などを利用した英国風庭園などがあったエリア） - 宝塚市が購入し、活用策を検討した上で2019年に再オープンの計画* 旧宝塚歌劇記念館跡地 - 宝塚音楽学校や宝塚歌劇団の生徒寮「すみれ寮」を移転新築* その他の部分 - 阪急電鉄による再開発 2019年3月現在、解体工事が完了し再開発が始まっている。"
"兵庫県","小代区","小代区（おじろく）は、兵庫県美方郡香美町に3つある地域自治区のひとつである。旧美方町と同域。 2005年4月1日に美方郡美方町・村岡町・城崎郡香住町が合併し香美町が成立した際、住民の要望により旧美方町域は旧来の地名「小代（おじろ）」を復活させ「小代区」という名称になった。 「日本で最も美しい村」連合に加盟している。同連合で認定された登録地域資源は、「『和牛のふるさと』としての小代」と、「みかた残酷マラソン全国大会」である。"
"兵庫県","平福","平福（ひらふく）は兵庫県佐用郡佐用町の地名。郵便番号は679-5331（佐用郵便局管区）。"
"兵庫県","景観形成地区 (兵庫県指定)","景観形成地区（けいかんけいせいちく）は兵庫県の「景観の形成等に関する条例」（景観条例）に基づく指定制度の一つで、指定の対象となる兵庫県下の優れた景観の保全および維持または創造をその目的とする。指定の対象は「歴史的景観形成地区」、「住宅街等景観形成地区」、「まちなか景観形成地区」、「沿道景観形成地区」に種別され、また個々の地区に応じた景観形成基準（景観ガイドライン）が定められている。"
"兵庫県","景観形成重要建造物等 (兵庫県指定)","景観形成重要建造物等（けいかんけいせいじゅうようけんぞうぶつとう）は兵庫県の「景観の形成等に関する条例」（景観条例）に基づく指定制度の一つである。地域の景観形成に重要な役割を果たしている建造物および樹木が指定の対象となる。"
"兵庫県","河原町妻入商家群","河原町妻入商家群（かわらまちつまいりしょうかぐん）は、兵庫県丹波篠山市にある篠山市篠山伝統的建造物群保存地区の内、河原町、小川町を中心とした商家を中心とした地区の名称。 京街道に沿って丹波地区に特有の妻入りの商家が立ち並び、近世から近代にかけての町並みをよく保存している。"
"兵庫県","淡路ワールドパークONOKORO","淡路ワールドパークONOKORO （あわじワールドパーク オノコロ）は、兵庫県淡路市塩田新島8-5にあるテーマパーク。"
"兵庫県","淡路夢舞台","淡路夢舞台（あわじゆめぶたい）とは、兵庫県淡路市にある複合文化リゾート施設である。株式会社夢舞台（兵庫県が出資している第三セクター）が運営している。"
"兵庫県","灘黒岩水仙郷","灘黒岩水仙郷（なだくろいわすいせんきょう）は、兵庫県南あわじ市（旧南淡町）灘黒岩に位置するスイセンの群生地である。日本三大群生地の一つ。"
"兵庫県","生野銀山","生野銀山（いくのぎんざん）は、兵庫県朝来市（但馬国）に開かれていた戦国時代から近代にかけての日本有数の銀山である。 明治新政府が日本の鉱業（鉱山・製鉱所）の近代化を確立するために最初に官営（直轄）鉱山とした模範鉱山である。"
"兵庫県","田淵氏庭園","田淵氏庭園（たぶちしていえん）は兵庫県赤穂市にある日本庭園。1987年に国の名勝に指定された。隣地に赤穂市立田淵記念館が建つ。"
"兵庫県","石の宝殿","石の宝殿（いしのほうでん、石宝殿）は、人工的な巨石が残る遺跡などに付けられた名称。兵庫県と大阪府に5ヵ所ある。"
"兵庫県","神戸どうぶつ王国","神戸どうぶつ王国（こうべどうぶつおうこく）は、兵庫県神戸市中央区のポートアイランドにある動植物園である。花と鳥を中心に多数の展示植物が配置された温室などで数多くの鳥が放し飼いになっている。2014年のリニューアル以降は展示動物の種類が大幅に増え、その多くと直接触れあったり餌を与えたりすることができる。"
"兵庫県","神戸ハーバーランド","神戸ハーバーランド（こうべハーバーランド）は、兵庫県神戸市中央区にある再開発地区。地元を中心に、単にハーバーランド (Harborland)と表記・呼称される事もある。"
"兵庫県","神戸ポートタワー","神戸ポートタワー（こうべポートタワー）は、神戸港中突堤の袂に建つタワー。"
"兵庫県","神戸市立六甲山牧場","神戸市立六甲山牧場（こうべしりつろっこうさんぼくじょう）は、兵庫県神戸市灘区の六甲山上にある牧場である。"
"兵庫県","神戸市立王子動物園","神戸市立王子動物園（こうべしりつおうじどうぶつえん）は、兵庫県神戸市灘区の王子公園内にある動物園。"
"兵庫県","立川水仙郷","立川水仙郷（たちかわすいせんきょう）は、兵庫県洲本市由良町由良にある観光名所である。水仙の名所として古くから知られる一方で、テレビメディアの影響で併設の施設も有名になった（後述）。"
"兵庫県","舞子海水浴場","舞子海水浴場（まいこかいすいよくじょう）は、兵庫県神戸市垂水区海岸通にある海水浴場である。愛称は「アジュール舞子」。"
"兵庫県","花のみち","花のみち（はなのみち）は、兵庫県宝塚市の道路である。 阪急宝塚駅から宝塚大劇場を結ぶ段葛型道路で、1924年の宝塚大劇場開場により造成された。宝塚歌劇へ続く花道の意味がある。 桜をはじめ四季の花々や植物が植えられている。並行したショッピング街、花のみち1番館・2番館は花のみちセルカとして、2000年の改修時にオープンした。 また、これにちなんで2014年から阪神競馬場で宝塚記念当日に行われる中央競馬の特別競走「花のみちステークス」（2014年は「花のみち特別」）のモチーフになっている。このとき演奏されるファンファーレは通常の特別競走用のものではなく、『すみれの花咲く頃』をアレンジした独自のものが使用されている。"
"兵庫県","花時計 (神戸市)","花時計（はなどけい）は、神戸市中央区の東遊園地に設置されているモニュメント。 日本で初めて設置された花時計である。"
"兵庫県","辰鼓楼","辰鼓楼（しんころう）は、兵庫県豊岡市出石の出石総合支所敷地（旧出石町役場、旧敷地）にある明治時代初期の時計台。豊岡市出石伝統的建造物群保存地区を代表する建造物である。"
"兵庫県","野島断層","野島断層（のじまだんそう）は、兵庫県淡路市にある活断層。一部が保存され文部科学省によって天然記念物に指定されている。 長さは淡路島の北西部・旧北淡町の北端、江埼灯台付近から富島地区までの約10kmにわたり、六甲山より淡路島に至る六甲・淡路島断層帯の一部にあたる。1975年の地質図に活断層として記載された。"
"兵庫県","銀山まち回廊","銀山まち回廊（ぎんざんまちかいろう）は兵庫県朝来市生野町口銀谷（くちがなや）の景観形成地区を巡る観光用道路の愛称である。口銀谷地区は、2014年に「生野鉱山及び鉱山町の文化的景観」の一部として国の重要文化的景観に選定された。"
"千葉県","きみさらずタワー","きみさらずタワーは、千葉県木更津市の太田山公園内にある塔。木更津市にまつわる伝説にちなんだ建築物で、塔の先端に日本武尊（やまとたけるのみこと）と弟橘媛（おとたちばなひめ）の銅像が向かい合って立つ。日本の夜景100選やに選定されている。"
"千葉県","ふなばしアンデルセン公園","ふなばしアンデルセン公園（ふなばしアンデルセンこうえん）は、千葉県船橋市にある総合公園である。トリップアドバイザーの「世界の人気観光スポットテーマパーク部門」にて東京ディズニーランド、東京ディズニーシーに次ぐ日本国内3位。年間来場者数は約90万人。名所として房総の魅力500選に選定されている。"
"千葉県","ダチョウ王国","ダチョウ王国（ダチョウおうこく）は、日本の観光牧場である。茨城県石岡市に本社を置く常南グリーンシステム株式会社（じょうなんグリーンシステム）が運営する。"
"千葉県","レイクウッズガーデンひめはるの里","レイクウッズガーデンひめはるの里（レイクウッズガーデンひめはるのさと）は、千葉県茂原市にあるテーマパーク。の畔に位置する。"
"千葉県","万葉植物園 (市川市)","万葉植物園（まんようしょくぶつえん、英:Ichikawa City Manyo Garden）は、千葉県市川市にある万葉植物園。「真間の手児奈」ゆかりの地。 3,387m2の敷地に約197種の『万葉集』の歌に詠まれる植物が植栽され観賞できる日本庭園である。入場料無料の施設。"
"千葉県","九十九里浜","九十九里浜（くじゅうくりはま）は、千葉県東部の刑部岬から太東崎までに及ぶ太平洋沿岸に面する日本最大級の砂浜海岸。全域を千葉県立九十九里自然公園に指定されており、日本の白砂青松100選、日本の渚百選に選定されている。海岸線を指す場合は九十九里海岸と呼ばれ、オーストラリアのゴールドコーストと類似した環境で行うビーチウォークに着目し、九十九里コーストラインとも命名されている。"
"千葉県","京成バラ園","京成バラ園（けいせいばらえん）は、千葉県八千代市にある、京成バラ園芸株式会社（京成グループ）が運営する国内最大級のバラ園である。恋人の聖地に選定されており、写真映えするスポットとして注目されている。"
"千葉県","京成バラ園芸","京成バラ園芸株式会社（けいせいばらえんげい）は、千葉県八千代市に本社を置くバラ育種および苗の製造販売企業。京成電鉄完全子会社であり、京成グループの企業である。京成カード加盟店。 八千代市で 30,000平方メートルの広さを誇る京成バラ園（ローズガーデンとその付帯施設、1,500品種 10,000株）を経営する傍ら、バラの品種改良を行い、国際的なバラコンクールにおいて数々の受賞実績を持つ。切り花用のバラ苗の生産でも大手である。 造園業も行なっており、西武造園、西武緑化管理、横浜緑地（西武）、東急グリーンシステム、石勝エクステリア（東急）、東武緑地、京王グリーンサービス、グリーンアンドアーツ（京成）、京急緑地開発などと同様に、関東における鉄道系造園会社の一つ。"
"千葉県","仁右衛門島","仁右衛門島（にえもんじま）は、千葉県鴨川市太海の沖合約200mにある島。全島砂岩よりなる周囲約4kmの島で、千葉県では最も大きな島かつ唯一の有人島である。源頼朝や日蓮の伝説で知られ、個人所有ではあるが千葉県指定名勝となっているほか、新日本百景にも選ばれている。 島主である平野仁右衛門の名に因み、この名前になったといわれている。夏涼しく冬暖かい風光明媚な自然の楽園。金銀針茄子（）という珍しい植物もみられる。島の南側は荒々しい海岸線がみられ、自然の防波堤の役割も果たしている。"
"千葉県","伊能忠敬旧宅","伊能忠敬旧宅（いのうただたかきゅうたく）は、千葉県香取市佐原にある伊能忠敬の佐原在住時代の家で、国の史跡に指定されている。"
"千葉県","佐倉城","佐倉城（さくらじょう）は、千葉県佐倉市城内町にあった近世の日本の城。江戸時代には佐倉藩の藩庁が置かれた。市指定史跡および日本城郭協会選定の日本100名城（第20番）である。城跡は佐倉城址公園として整備されている。"
"千葉県","佐原の町並み","佐原の町並み（さわらのまちなみ）は、千葉県香取市（旧下総国）の市街地にある歴史的建造物が残る町並みである。商家町として栄え、古くから”北総の小江戸”、”水郷の町”と称された。1996年に関東地方で初めて重要伝統的建造物群保存地区として選定されている。2009年には平成百景、2018年には佐倉市（城下町）・成田市（門前町）・銚子市（港町）とともに日本遺産に認定された。"
"千葉県","八坂神社","八坂神社（やさかじんじゃ）は、京都府京都市東山区祇園町北側にある神社。二十二社（下八社）の一社。旧社格は官幣大社で、現在は神社本庁の別表神社。 全国にある八坂神社や素戔嗚尊を祭神とする関連神社（約2,300社）の総本社である主張をしている。通称として祇園さんとも呼ばれる。7月の祇園祭（祇園会）で知られる。"
"千葉県","加曽利貝塚","加曽利貝塚（かそりかいづか）は、千葉県千葉市若葉区桜木8丁目にある縄文時代の貝塚である。日本最大級の貝塚であり、学史上でも著名な標式遺跡としても知られる。 1971年（昭和46年）に北貝塚が、1977年（昭和52年）に南貝塚が国の史跡に指定され、2017年（平成29年）に国の特別史跡に指定された。北貝塚のE地点の土器は、縄文中期後半の加曽利E式、南貝塚のB地点の土器は、縄文後期後半のとして編年の指標となる土器と位置づけられている。"
"千葉県","勝浦朝市","勝浦朝市（かつうらあさいち）は、千葉県勝浦市で開かれる朝市である。石川県の輪島朝市、岐阜県の宮川朝市と並ぶ、日本三大朝市のひとつに数えられている。"
"千葉県","勝浦海中公園","勝浦海中公園（かつうらかいちゅうこうえん）は千葉県勝浦市にある海域公園（旧称：海中公園）で、南房総国定公園のなかに位置している。 勝浦海中公園は1974年6月に指定され、40番目の海中公園となった。付近一帯はリアス式海岸であるため、岩場が多く、ウニやアワビなどが生息している。 公園内には海中展望塔を中心に海の博物館（千葉県立中央博物館分館）やレストランなどの施設がある。ニッポン放送でオンエアされるCMでは『ジョーズ接近中、乙姫様接近中』というコピーが使われている。"
"北海道","十勝ヒルズ","十勝ヒルズ（とかちヒルズ、Tokachi Hills）は、北海道中川郡幕別町にある農と食に関するテーマパーク。"
"北海道","十勝千年の森","十勝千年の森（とかちせんねんのもり、英: TOKACHI MILLENNIUM FOREST）は、北海道上川郡清水町にある庭園。"
"北海道","十勝岳望岳台","十勝岳望岳台(とかちだけぼうがくだい)は、北海道上川郡美瑛町白金の十勝岳の中腹にある展望台。単に望岳台と呼ばれることが多い。"
"千葉県","千葉こどもの国キッズダム","千葉こどもの国キッズダム（ちばこどものくにキッズダム、英:Chiba Children's Country kids Dam）は、日本の千葉県市原市山倉（山倉湖）の湖畔に位置する児童厚生施設の自然遊園地である。房総の魅力500選に指定されている。"
"千葉県","千葉ポートタワー","千葉ポートタワー（ちばポートタワー）は、千葉県千葉市中央区の千葉ポートパーク内に建つランドマークタワーである。千葉港のシンボルともなっている。日本夜景遺産、恋人の聖地に認定。全日本タワー協議会に加盟している。"
"千葉県","千葉市花の美術館","千葉市花の美術館（ちばしはなのびじゅつかん、英:Chiba City Flower Art Museum）は、千葉県千葉市美浜区（稲毛海浜公園内）にある美術館。植物園としての性格を併せ持ち、館内・屋外庭園合わせて約48000株の草花が植えられている。"
"千葉県","千葉県立九十九里自然公園","千葉県立九十九里自然公園（ちばけんりつくじゅうくりしぜんこうえん）は、九十九里浜を中心とした千葉県東部に位置する都道府県立自然公園。自然公園施設として上永井自然公園、片貝自然公園、白子自然公園が整備されている。"
"千葉県","千葉県立印旛手賀自然公園","千葉県立印旛手賀自然公園（ちばけんりついんばてがしぜんこうえん）は、印旛沼・手賀沼を中心とした千葉県北部に位置する都道府県立自然公園。"
"千葉県","千葉県立大利根自然公園","千葉県立大利根自然公園（ちばけんりつおおとねしぜんこうえん）は、利根川を中心とした千葉県北部に位置する都道府県立自然公園。神崎の大クスは国の天然記念物に指定されている。"
"千葉県","千葉県立富山自然公園","千葉県立富山自然公園（ちばけんりつとみさんしぜんこうえん）は、富山（とみさん）・伊予ヶ岳を中心とした千葉県南房総市に位置する都道府県立自然公園。"
"千葉県","千葉県立富津公園","千葉県立富津公園（ちばけんりつふっつこうえん）は、千葉県富津市の富津岬にある千葉県立都市公園（広域公園）である。南房総国定公園に指定されている。 日本の都市公園100選、日本の白砂青松100選、房総の魅力500選のほか、明治百年記念展望塔は関東の富士見百景、ちば眺望百景、中の島公園展望塔はヘリテージング100選に選定されている。"
"千葉県","千葉県立嶺岡山系自然公園","千葉県立嶺岡山系自然公園（ちばけんりつみねおかさんけいしぜんこうえん）は、嶺岡山地を中心とした千葉県南部に位置する都道府県立自然公園。"
"千葉県","千葉県立房総のむら","千葉県立房総のむら（ちばけんりつぼうそうのむら、英称:Experience Museum Chiba Prefectural Boso-no-Mura）は、千葉県印旛郡栄町にある県立の体験型博物館。敷地は栄町と成田市にまたがり、龍角寺古墳群・岩屋古墳、旧学習院初等科正堂、旧御子神家住宅など、国の史跡・重要文化財が良好に保存されている。"
"千葉県","千葉県立笠森鶴舞自然公園","千葉県立笠森鶴舞自然公園（ちばけんりつかさもりつるまいしぜんこうえん）は、権現森・笠森寺の自然林を中心とした千葉県中央部に位置する都道府県立自然公園。笠森寺自然林は国の天然記念物に指定されている。"
"千葉県","千葉県立養老渓谷奥清澄自然公園","千葉県立養老渓谷奥清澄自然公園（ちばけんりつようろうけいこくおくきよすみしぜんこうえん）は、養老渓谷・を中心とした千葉県南部に位置する都道府県立自然公園。"
"千葉県","千葉県立高宕山自然公園","千葉県立高宕山自然公園（ちばけんりつたかごやましぜんこうえん）は、高宕山を中心とした千葉県南部に位置する都道府県立自然公園。高宕山ニホンザル生息地は国の天然記念物に指定されている。"
"北海道","四季彩の丘","四季彩の丘（しきさいのおか）は、北海道上川郡美瑛町にある観光名所。正式名称は「展望花畑 四季彩の丘」。"
"北海道","外国樹種見本林","外国樹種見本林（がいこくじゅしゅみほんりん）は、北海道旭川市にある国有林。外国の樹種が日本の寒冷地で育つかどうかを観察するために造られた。学術的にも貴重なものとされている。立入りは自由。自然が豊かな森で、エゾリスも生息する。行政的には嵐山・神居自然休養林を構成する3地区内の1地区であり、北海道森林管理局の上川中部森林管理署が管理する。 三浦綾子の小説『氷点』の舞台として有名。"
"北海道","多和平","多和平（たわだいら）は、北海道川上郡標茶町多和にある標高195.2mの丘。 丘の頂上には、給水中継ポンプと展望台があり、周囲360°の眺望が望める。“地平線の見える大牧場”を売り文句にしている。展望台周辺にはレストハウス（売店と食事、冬期休業）、キャンプ場がある。 比較的近隣に位置する開陽台（中標津町）、９００草原（弟子屈町）とともに、道東の広大な眺望を味わえる場所であり、家族連れや北海道ツーリングのライダーがキャンプに訪れたり、観光バスやレンタカーを利用した観光客も訪れる。 周辺一帯は標茶町育成牧場となっている。1279haの傾斜放牧地と404haの採草地を有し、夏期3000頭、冬期1800頭の乳牛を飼育する他、めん羊の飼育も行っている。"
"北海道","大雪展望台","大雪展望台（たいせつてんぼうだい）は、北海道上川町に位置する展望台。巨大な鐘「エスポワールの鐘」が頭頂部に設置されている。「大雪展望台エスポワールの鐘」とも呼ばれる。"
"千葉県","太海フラワーセンター","太海フラワーセンター（ふとみフラワーセンター）は、千葉県鴨川市太海浜67番地に位置していた観光施設。植物園と釣り施設を営業していた。 太海フラワー磯釣りセンターともいう。コンセプトは花と海と動物の楽園。 太平洋に近接し、温暖な気候に恵まれている太海の漁村に面する。特に春は観光客が多く訪れ賑わっていた。 2018年12月31日を持って全ての施設が休園しているが、2019年は7月20日～8月31日の観光シーズンの間のみ、海の釣り堀と駐車場を期間限定で営業することとなった。"
"千葉県","守谷海水浴場","守谷海水浴場（もりやかいすいよくじょう）は千葉県勝浦市の守谷海岸にある海水浴場である。屈指の透明度を誇り、環境省による「快水浴場百選」のほか、「日本の渚百選」、「日本の水浴場88選」に選ばれている。1992年（平成4年）には「第12回全国豊かな海づくり大会」が行われた。 年に約20回、干潮時に海岸内にある渡島と海水浴場がつながる。"
"北海道","宗谷岬","宗谷岬（そうやみさき）は、北海道稚内市にある岬・地名。この項目では公園の宗谷岬公園、楽曲の宗谷岬についても記載している。"
"千葉県","宮内庁下総御料牧場","宮内庁下総御料牧場（くないちょうしもふさごりょうぼくじょう）は1969年（昭和44年）8月18日まで、千葉県成田市の三里塚地区に存在していた御料牧場の名称である。"
"北海道","小樽運河","小樽運河（おたるうんが）は、北海道小樽市にある運河。"
"北海道","愛とロマンの8時間コース","愛とロマンの8時間コース（あいとロマンの8じかんコース）は北海道礼文島のトレッキングコースである。"
"北海道","旭川市旭山動物園","旭川市旭山動物園（あさひかわしあさひやまどうぶつえん）は、北海道旭川市東旭川町沼倉にある旭川市が運営する動物園。通称は旭山動物園。"
"北海道","昭和新山熊牧場","昭和新山熊牧場（しょうわしんざんくまぼくじょう）は、北海道有珠郡壮瞥町の昭和新山にあるクマの動物園(観光牧場,テーマパーク)である。近距離からの観察のために「人のおり」がある。入園者が給餌ができる。"
"北海道","札幌市時計台","札幌市時計台（さっぽろしとけいだい）は、北海道札幌市中央区北1条西2丁目にある歴史的建造物である。重要文化財（1970年6月17日指定）。 正式名称を「旧札幌農学校演武場」（きゅう-さっぽろのうがっこう-えんぶじょう）と称する。現在の通称は「札幌時計台」、もしくは単に「時計台」と呼ばれ、たくさんの観光人が訪れる名所になった。"
"北海道","深川市桜山公園","深川市桜山公園（ふかがわしさくらやまこうえん）は、北海道深川市一已町にある公園である。深川市より管理受託している深川振興公社が運営している。"
"北海道","狸小路商店街","狸小路商店街（たぬきこうじしょうてんがい）は、札幌市中央区に所在する商店街。この項目では、地域（街区）としての通称「狸小路」についても記載している。"
"北海道","白い恋人パーク","白い恋人パーク（しろいこいびとパーク、英: SHIROI KOIBITO PARK）は、札幌市西区にあるテーマパーク・工場。「石屋製菓」の本社所在地。"
"北海道","真鍋庭園","真鍋庭園（まなべていえん）は北海道帯広市稲田町にある農園、植物園。国内におけるコニファー希少品種の生産で知られる。総面積は100ヘクタールで日本一の面積。日本初のコニファー庭園とされる。"
"北海道","知床国立公園","知床国立公園（しれとここくりつこうえん）は、北海道知床半島にある国立公園。"
"北海道","箱根牧場","株式会社北海道箱根牧場（ほっかいどうはこねぼくじょう）は、北海道千歳市にある牧場。乗馬や乳搾り、乳製品づくりなどのさまざまな体験ができることから、訪れる観光客も多い。"
"北海道","納沙布岬","納沙布岬（のさっぷみさき）は、北海道根室市にある岬である。根室半島の先端、東経145°49′、北緯43°22′に位置する。離島を除けば日本の本土最東端にあたる。このため、一般人が訪問可能な日本最東端地点である。なお、読み方が似ている “野寒布岬（のしゃっぷみさき）” は北海道稚内市にある岬である。"
"北海道","紫竹ガーデン","紫竹ガーデン（しちくガーデン）は、北海道帯広市にある。多年草を主に年間2500種類の草花が咲く。"
"北海道","襟裳岬","襟裳岬（えりもみさき）は、北海道幌泉郡えりも町えりも岬に属し、太平洋に面する岬。北緯41度55分28秒、東経143度14分57秒。北海道の形を大きく表徴する自然地形の一つである。日高山脈の最南端で、太平洋に向かって南へ突き出した岬である。海上にまで岩礁群も伸びている。"
"北海道","豊平館","豊平館（ほうへいかん）は、札幌市中央区中島公園内にある西洋館。"
"北海道","金森赤レンガ倉庫","金森赤レンガ倉庫（かねもりあかレンガそうこ、英文表記:Kanemori Red Brick Warehouse）は、北海道函館市にある赤レンガ倉庫群の名称。金森商船株式会社が管理・運営を行う。金森商船は、大分県出身の実業家、初代が明治時代に開業した「」が起源である。現在はショッピングモールやビアホール・レストランが入居する、函館の観光名所となっている。この地域一帯は重要伝統的建造物群保存地区、街並みは北海道遺産に選定されている。 所在地は北海道函館市末広町14番12号。"
"北海道","釧路湿原","釧路湿原（くしろ しつげん）は、北海道釧路平野に位置する日本最大の湿原・湿地。面積は約2万6000haで、このうち中心部の7863haがラムサール条約登録湿地である。釧路湿原国立公園としての区域は2万8788ha。"
"北海道","開陽台","開陽台（かいようだい）は、北海道標津郡中標津町開陽にある丘であり、展望台がある名所となっている。"
"北海道","麓郷の森","麓郷の森（ろくごうのもり）は北海道富良野市東麓郷にあるテレビドラマ『北の国から』の初期のロケ地であり、1984年（昭和59年）からは新たに観光名所として整備された。"
"北海道","ひまわりの里","ひまわりの里（ひまわりのさと）は、北海道雨竜郡北竜町にある観光名所。北竜町のヒマワリ作付面積は日本最大規模を誇り、ヒマワリを中心とした町づくり及び観光産業として1989年に造成された。"
"北海道","秩父別町観光体験牧場 めぇーめぇーランド","秩父別町観光体験牧場 めぇーめぇーランド（ちっぷべつちょうかんこうたいけんぼくじょうめぇーめぇーらんど）は、北海道雨竜郡秩父別町にある観光体験牧場。様々な種類の羊と触れ合うことを通して、地域において長年人々に親しまれてきた羊の文化継承を行うことを目的としている。2006年開園、管理・運営は秩父別町役場。ローズガーデンちっぷべつと隣接する。"
"和歌山県","あらぎ島","あらぎ島（あらぎじま）は、和歌山県有田郡有田川町清水にある水田（棚田）の通称名。本来は嶋新田と称するが通称名の方が知られており、有田川町ウェブサイトでも『あらぎ島』で案内されている。 農林水産省の『日本の棚田百選』、地球環境関西フォーラムの『関西自然に親しむ風景100選』、和歌山県観光連盟の『』に選定されている。 漢字では蘭島と記すが、有田川町ウェブサイトではひらがなで記載されているため本項記事名はひらがな表記とした。"
"埼玉県","ところざわのゆり園","ところざわのゆり園（ところざわのゆりえん）は、埼玉県所沢市上山口にある西武鉄道株式会社が運営するレジャー施設の名称。毎年6月上旬（もしくは5月下旬）から7月中旬（または上旬）のみ営業している。 毎年期間中、30,000 m2の自然林に咲く45万株の百合の花が、家族連れなど多くの来園者を楽しませている。"
"埼玉県","ところざわサクラタウン","ところざわサクラタウンは、埼玉県所沢市東所沢和田にあるKADOKAWA及び、角川文化振興財団が所有する複合施設である。所沢市との共同プロジェクト「COOL JAPAN FOREST構想」の中核施設であり、国内最大級のポップカルチャーの発信拠点となる。当施設内の新オフィス（所沢キャンパス）に、KADOKAWAの本社機能の一部を移転する計画が報道されている。当初は、2020年6月6日にプレオープン、同年7月17日にグランドオープンの予定であったが、新型コロナウイルス感染症（COVID-19）の世界的流行を受け、開業を延期し、2020年8月1日のプレオープン、同年11月6日のグランドオープンを予定している。また、その構想を遂行する株式会社ところざわサクラタウンは、KADOKAWAの完全子会社である。"
"和歌山県","アドベンチャーワールド","アドベンチャーワールドは、和歌山県西牟婁郡白浜町にある動物園、水族館、遊園地が一体になったテーマパークである。 大阪府松原市に本社を置く株式会社（不動産・建設業）の関連会社である株式会社アワーズ (AWS) が運営している。 1978年4月22日のオープン当初は「南紀白浜ワールドサファリ」という名称であった。"
"埼玉県","ジョンソン・タウン","ジョンソンタウン (英語: JOHNSON TOWN) とは、埼玉県入間市東町1丁目の国道463号沿いにある元米軍住居地域跡地全体の名称。 所有・管理者の株式会社磯野商会によって再整備、統一された街並みとして維持され、米軍ハウス23棟、平成ハウス35棟、日本家屋4棟、セキスイＭ1 7棟、その他10棟の合計79棟（2017年5月現在）の建物が住居用・店舗用として賃貸されている。"
"和歌山県","ポルトヨーロッパ","ポルトヨーロッパは、和歌山県和歌山市毛見の人工島、和歌山マリーナシティ内にあるテーマパーク。園内は地中海をイメージした造りになっていて、ポルトヨーロッパゾーンと遊園地ゾーンの2つの地区に分かれている。"
